9.023299,79.53369
9.023269,79.533735
9.023251,79.533782
9.023249,79.53383
9.023263,79.533875
9.023291,79.533915
9.023331,79.533953
9.023381,79.533983
9.023437,79.534012
9.023492,79.534037
9.023546,79.534058
9.023598,79.534067
9.023645,79.534058
9.023686,79.534028
9.02372,79.533988
9.023755,79.533942
9.023791,79.533897
9.023823,79.533857
9.023844,79.533817
9.023855,79.533775
9.023867,79.533737
9.023886,79.533703
9.023909,79.533678
9.023946,79.533663
9.023981,79.533643
9.024011,79.533613
9.02404,79.533578
9.024068,79.533543
9.024093,79.533515
9.024119,79.533502
9.024141,79.533505
9.024155,79.533513
9.024159,79.533517
